FIPS,Percent_High_school_completion,Percent_Children_in_poverty,Percent_Kids_in_Single_Parent_Houses,Reading _scores,Math_scores
13231,87.15,12.5,13.15,3.254215657,3.107203293
13233,80.74,22.6,30.81,2.793202567,2.742267021
13235,79.47,27.6,46.39,2.791628239,2.368751467
13237,87.65,27.3,33.45,2.990422459,3.158708564
13239,70.99,40.3,47.97,1.871908371,2.086008103
13241,85.01,22.6,22.21,3.004109325,2.943559122
13243,74.01,38.9,66.1,2.852657824,2.534694636
13245,85.73,38.7,51.39,2.567236059,2.360585489
13247,89.3,20.5,41.22,2.936533517,2.746972656
13249,85.78,21.8,22.33,3.378650357,3.288870938
13251,83.15,30.5,43.44,2.831631161,2.916129478
13253,84.25,34.2,48.86,3.150333033,2.810896223
13255,82.9,25.6,38.93,2.559766588,2.492718674
13257,81.59,22.9,23.01,3.071961801,2.885465465
13259,72.65,31.6,53.63,2.422838627,2.257559446
13261,84.15,36.4,46.18,2.433753253,2.264668771
13263,82.61,35.9,61.74,2.158262641,2.061892528
13265,77.85,33.2,33.77,,
13267,77.37,28.1,39.72,2.573689825,2.740148341
13269,79.53,32.5,36.75,2.625928311,2.469338424
13271,71.77,32.8,37.72,2.88402614,3.091848771
13273,76.52,45,38.74,2.611050805,2.426179307
13275,86.08,23.6,38.22,2.906278631,2.651816238
13277,83.19,29.9,36.96,3.047022721,3.007142975
13279,83.53,33.2,29.31,2.785856699,2.946797317
13281,91.67,19.8,31.4,3.298855001,3.108186007
13283,76.39,31.2,34.7,2.978881258,3.058162268
13285,85.17,23.1,36.69,2.560590329,2.784583047
13287,79.25,37.9,46.35,2.929720003,2.809585376
